idcode,age,race,married,never_married,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,hours,ttl_exp,tenure
1133,39,white,married,0,12,not college grad,0,SMSA,0,Ag/Forestry/Fisheries,Clerical/unskilled,,4.5986619,25,8.1410255,3.4166667
1134,38,white,married,0,14,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,4.4283414,8,4.7884617,1.75
1140,40,white,single,1,18,college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,7.7455678,50,19.397434,3.4166667
1141,37,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Professional/technical,union,6.9645681,20,16.711538,10.25
1143,38,not white,single,0,12,not college grad,0,SMSA,0,Transport/Comm/Utility,Sales,nonunion,15.09662,40,20.115385,20.083334
1147,42,white,married,0,10,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Managers/admin,,5.0167227,40,9.4358978,.83333331
1148,40,white,single,0,12,not college grad,0,SMSA,0,Transport/Comm/Utility,Managers/admin,nonunion,13.325271,40,17.262821,17.166666
1150,43,white,married,0,12,not college grad,0,SMSA,1,Transport/Comm/Utility,Operatives,union,7.9307556,40,12.134615,3.1666667
1154,38,not white,single,0,13,not college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,6.9726219,40,15.339744,10.083333
1155,37,not white,married,0,,not college grad,0,SMSA,1,Manufacturing,Operatives,union,7.0450883,40,15.916667,15.916667
1157,38,not white,married,0,10,not college grad,0,SMSA,1,Business/Repair Svc,Sales,nonunion,3.220612,40,2.4166667,2.4166667
1159,41,white,single,1,11,not college grad,1,nonSMSA,0,Manufacturing,Operatives,union,5.8776164,40,12.03205,3.5833333
1162,40,white,married,0,12,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Managers/admin,nonunion,4.7584538,35,16.416666,16.416666
1164,36,not white,single,1,10,not college grad,0,SMSA,1,Business/Repair Svc,Laborers,union,5.6843777,53,5.2115383,1.4166666
1169,38,white,married,0,12,not college grad,0,SMSA,0,Manufacturing,Professional/technical,nonunion,11.835748,24,15.423077,2.3333333
1171,44,not white,single,0,13,not college grad,0,SMSA,1,Professional Services,Sales,nonunion,8.1320438,40,26.538462,14.416667
1174,37,not white,single,1,14,not college grad,0,SMSA,1,Manufacturing,Operatives,union,12.077295,40,9.333333,9.333333
1177,39,not white,married,0,12,not college grad,0,SMSA,1,Professional Services,Sales,nonunion,6.2399359,40,9.8269224,5.4166665
1181,39,not white,single,0,13,not college grad,0,SMSA,1,Professional Services,Professional/technical,union,7.9307556,40,13.538462,3.75
1186,37,not white,married,0,11,not college grad,0,SMSA,1,Manufacturing,Craftsmen,nonunion,3.5265677,40,7.8653851,
1188,35,white,single,0,12,not college grad,0,SMSA,0,Business/Repair Svc,Sales,nonunion,4.0257649,32,7.3076921,3.0833333
1196,36,not white,married,0,18,college grad,0,SMSA,0,Professional Services,Managers/admin,,32.158459,50,13.358974,3
1198,37,white,married,0,12,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Managers/admin,nonunion,7.4315586,40,14.807693,5.9166665
1201,37,white,married,0,14,not college grad,0,SMSA,0,Ag/Forestry/Fisheries,Sales,nonunion,6.1916251,50,8.1474361,2.5
1203,36,not white,married,0,12,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Sales,,6.793478,40,14,.33333334
1204,36,not white,married,0,13,not college grad,0,SMSA,1,Transport/Comm/Utility,Operatives,union,10.466988,42,12.602564,12.333333
1209,40,white,married,0,12,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Managers/admin,nonunion,25.805145,36,19.153847,4.9166665
1213,40,white,single,0,16,college grad,1,SMSA,0,Wholesale/Retail Trade,Laborers,nonunion,4.0257649,40,7.3076925,1.0833334
1217,37,not white,single,0,12,not college grad,1,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,2.8743958,35,5.6153846,4.3333335
1218,41,white,married,0,12,not college grad,0,SMSA,0,Personal Services,Sales,nonunion,4.4283414,26,6.7307692,1.5833334
1219,39,white,single,1,12,not college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,15.09662,40,20.307692,20.25
1222,41,not white,single,1,13,not college grad,0,SMSA,1,,Sales,nonunion,6.8438005,40,12.980769,0
1224,41,not white,married,0,15,not college grad,0,SMSA,1,Professional Services,Sales,nonunion,6.5136847,38,2.5705128,.75
1227,36,white,married,0,12,not college grad,0,SMSA,1,Finance/Ins/Real Estate,Sales,nonunion,5.072463,40,9.5769234,1.0833334
1228,39,white,single,0,11,not college grad,0,SMSA,1,Professional Services,Laborers,nonunion,4.8309178,40,3.2820511,2.3333333
1233,34,not white,single,0,15,not college grad,0,SMSA,0,Wholesale/Retail Trade,Managers/admin,nonunion,4.3558779,37,9.5576925,2.75
1238,43,not white,married,0,16,college grad,0,SMSA,1,Finance/Ins/Real Estate,Laborers,,13.016325,10,5.9423075,1.5
1241,45,white,single,0,14,not college grad,0,SMSA,1,Transport/Comm/Utility,Sales,nonunion,9.6779356,40,9.6923075,2.75
1242,37,white,married,0,13,not college grad,1,SMSA,0,Manufacturing,Sales,nonunion,6.8438005,40,7.0384617,4.1666665
1243,44,white,single,0,16,college grad,0,SMSA,1,Finance/Ins/Real Estate,Clerical/unskilled,,5.6277308,2,14.288462,2.5
1247,35,white,married,0,18,college grad,1,SMSA,1,Professional Services,Professional/technical,nonunion,17.544281,30,14.365385,2.5
1248,41,white,married,0,18,college grad,0,SMSA,1,Professional Services,Other,union,10.845407,36,10.692307,5.75
1250,35,not white,single,1,17,college grad,0,SMSA,1,Public Administration,Sales,nonunion,6.9645681,40,11.346154,3.6666667
1257,41,not white,single,1,12,not college grad,0,SMSA,1,Manufacturing,Managers/admin,nonunion,9.5330076,38,20.833334,20.833334
1259,42,white,married,0,12,not college grad,0,SMSA,0,Business/Repair Svc,Sales,,8.5284252,40,6.25,1.9166666
1263,42,white,married,0,12,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Clerical/unskilled,nonunion,3.5024142,40,8.6923075,1.5833334
1264,44,not white,single,1,14,not college grad,0,SMSA,1,Professional Services,Sales,nonunion,5.4186792,60,19.211538,0
1266,38,not white,married,0,12,not college grad,0,SMSA,1,Wholesale/Retail Trade,Sales,nonunion,7.6086926,40,16.78846,13.333333
1269,36,white,married,0,12,not college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,7.3993516,40,16.98077,13.75
1271,42,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Laborers,nonunion,3.7625415,5,6.7884617,.75
1273,39,white,single,1,12,not college grad,0,nonSMSA,0,Personal Services,Operatives,nonunion,3.220612,40,1.3141025,.25
1275,42,not white,married,0,12,not college grad,0,SMSA,1,Professional Services,Professional/technical,union,8.558774,40,16.48077,11.5
1276,38,not white,single,0,13,not college grad,0,SMSA,1,Manufacturing,Operatives,union,7.3510447,40,16.51923,15
1280,35,not white,single,1,12,not college grad,0,SMSA,1,Wholesale/Retail Trade,Clerical/unskilled,nonunion,3.4219003,40,8.3782053,1.4166666
1283,42,not white,single,1,17,college grad,0,SMSA,1,Professional Services,Other,union,11.070854,40,17.416666,17.416666
1284,34,not white,married,0,11,not college grad,0,SMSA,0,Manufacturing,Craftsmen,union,5.7165852,40,12.269231,9.416667
1288,39,white,married,0,18,college grad,0,SMSA,0,Professional Services,Other,union,8.6714935,50,16.916666,16.916666
1289,38,white,single,0,16,college grad,0,SMSA,0,Manufacturing,Craftsmen,nonunion,10.719064,48,12.410256,9.416667
1292,43,not white,single,0,12,not college grad,0,SMSA,1,Manufacturing,Operatives,nonunion,4.0257649,40,8.9551287,.16666667
1304,43,white,married,0,15,not college grad,0,SMSA,0,Personal Services,Managers/admin,nonunion,5.5072436,45,9.6153851,6.25
1309,42,white,married,0,16,college grad,0,nonSMSA,0,Professional Services,Sales,nonunion,3.9049909,20,12.903847,3.25
1313,41,white,single,0,18,college grad,0,SMSA,0,Finance/Ins/Real Estate,Managers/admin,nonunion,12.777775,40,10.076923,1.6666666
1320,43,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Laborers,,4.0257649,3,2.5192308,0
1322,35,white,married,0,14,not college grad,1,nonSMSA,0,Professional Services,Managers/admin,nonunion,7.4476643,40,11,.33333334
1325,35,white,single,0,12,not college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,4.1867933,40,8.3269234,.16666667
1330,41,white,single,0,12,not college grad,0,SMSA,0,Business/Repair Svc,Sales,nonunion,6.9645681,40,10.980769,9.416667
1339,41,white,married,0,12,not college grad,0,SMSA,0,Transport/Comm/Utility,Sales,nonunion,8.0515299,30,13.884615,10.666667
1340,43,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Sales,,5.8528428,28,4.5769229,1
1345,36,white,single,0,12,not college grad,0,SMSA,0,Personal Services,Managers/admin,,22.970337,70,11.179486,4.5
1349,37,not white,single,0,14,not college grad,0,SMSA,1,Transport/Comm/Utility,Operatives,union,9.0177116,44,7.5961537,5.75
1355,35,not white,married,0,15,not college grad,0,SMSA,0,Manufacturing,Managers/admin,nonunion,9.29146,40,15.833333,15.833333
1358,42,white,married,0,12,not college grad,0,nonSMSA,0,Finance/Ins/Real Estate,Clerical/unskilled,nonunion,10.32206,60,12.141026,2.0833333
1361,41,white,married,0,17,college grad,0,SMSA,0,Manufacturing,Managers/admin,nonunion,17.02898,40,17.884615,2.1666667
1362,38,white,married,0,14,not college grad,0,SMSA,0,Wholesale/Retail Trade,Operatives,nonunion,3.220612,16,5.2628202,1
1364,39,white,married,0,16,college grad,0,SMSA,1,Professional Services,Managers/admin,nonunion,13.937197,50,17.153847,3
1366,42,white,married,0,12,not college grad,0,SMSA,0,Wholesale/Retail Trade,Laborers,,3.3444817,33,14.339743,1.3333334
1367,43,white,married,0,15,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Sales,nonunion,4.0257649,40,13.666667,13.666667
1370,34,white,single,0,15,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Professional/technical,nonunion,8.9049911,40,11.288462,11.25
1371,36,white,married,0,14,not college grad,0,SMSA,0,Wholesale/Retail Trade,Laborers,nonunion,8.8566837,35,10.5,10.5
1373,43,not white,married,0,11,not college grad,0,SMSA,1,Professional Services,Sales,union,12.753378,40,14.141026,6.8333335
1376,39,not white,single,0,12,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Sales,,5.434783,40,13.217948,.33333334
1379,43,not white,single,1,12,not college grad,0,SMSA,1,Public Administration,Sales,nonunion,10.12882,40,16.442307,10.916667
1380,37,not white,single,0,11,not college grad,0,SMSA,1,Manufacturing,Operatives,union,8.0112686,40,15.346154,9.75
1381,44,not white,married,0,12,not college grad,0,SMSA,0,Manufacturing,Operatives,union,11.272142,40,21,20.916666
1384,43,white,married,0,12,not college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,3.220612,20,5.1730771,2.3333333
1385,38,white,single,0,15,not college grad,0,SMSA,0,Manufacturing,Managers/admin,nonunion,6.1996756,60,12.955129,.66666669
1386,35,white,married,0,11,not college grad,0,SMSA,0,Personal Services,Laborers,,3.7625415,32,4.4423075,.16666667
1389,37,white,married,0,11,not college grad,1,nonSMSA,0,Manufacturing,Operatives,,3.0518394,40,5.8076925,.58333331
1394,42,white,single,0,18,college grad,0,SMSA,0,Manufacturing,Craftsmen,union,9.5008011,44,15.903846,15.083333
1396,41,white,married,0,18,college grad,0,SMSA,0,Professional Services,Other,union,16.256029,40,18.833334,18.833334
1398,36,not white,single,0,17,college grad,0,SMSA,1,Transport/Comm/Utility,Sales,nonunion,11.457324,50,15.615385,12.833333
1408,37,not white,married,0,16,college grad,0,SMSA,1,Professional Services,Other,union,14.573262,34,12.935898,5.8333335
1411,40,white,married,0,12,not college grad,1,SMSA,0,Professional Services,Managers/admin,nonunion,3.220612,30,16.089743,1.8333334
1415,38,white,married,0,16,college grad,0,SMSA,1,Personal Services,Laborers,,9.6779356,8,11.692307,3.9166667
1418,40,white,married,0,12,not college grad,0,SMSA,0,Manufacturing,Sales,nonunion,5.9259238,40,8.8141031,3.75
1420,40,not white,single,1,12,not college grad,0,SMSA,1,Transport/Comm/Utility,Sales,union,8.8164225,40,17.403847,15.083333
1426,37,white,single,1,12,not college grad,1,SMSA,1,Professional Services,Professional/technical,nonunion,4.8309178,40,5.1858978,3
1427,36,white,married,0,12,not college grad,0,SMSA,1,Finance/Ins/Real Estate,Sales,nonunion,4.5813198,40,10.621796,3
1428,42,white,single,0,18,college grad,0,SMSA,1,Professional Services,Other,union,19.434166,40,15.634616,7.25
1434,42,white,single,0,11,not college grad,1,nonSMSA,0,Wholesale/Retail Trade,Laborers,,3.0017905,24,2.4294872,.25
1435,44,white,married,0,15,not college grad,1,SMSA,0,Professional Services,Managers/admin,nonunion,8.9049911,40,13.698718,2.25
1436,43,white,single,0,16,college grad,1,SMSA,0,Professional Services,Other,nonunion,4.2592573,40,7.7051277,.91666669
1437,44,white,single,0,18,college grad,0,SMSA,0,Professional Services,Other,union,13.003217,50,8.7115383,4.8333335
1441,39,white,single,0,13,not college grad,1,SMSA,1,Professional Services,Sales,nonunion,5.6360707,42,15.923077,2.5
1448,37,white,married,0,12,not college grad,0,SMSA,0,Wholesale/Retail Trade,Managers/admin,union,3.6634455,40,7.5384617,2.8333333
1453,39,white,single,0,12,not college grad,0,SMSA,0,Wholesale/Retail Trade,Managers/admin,,38.709259,40,10.089744,2.75
1462,42,not white,single,0,16,college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,8.6714935,50,15.557693,4.3333335
1465,35,white,single,0,12,not college grad,0,SMSA,0,Public Administration,Sales,,6.3365531,40,15.012821,1.25
1469,39,white,married,0,12,not college grad,0,SMSA,1,Business/Repair Svc,Sales,,4.1806021,15,16.846153,.66666669
1470,36,white,single,1,18,college grad,0,SMSA,1,Finance/Ins/Real Estate,Managers/admin,nonunion,8.0515299,50,11.442307,1.5
1471,35,white,married,0,17,college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,11.723026,25,15.064102,12.75
1475,36,not white,married,0,18,college grad,1,SMSA,0,Professional Services,Other,nonunion,7.7455678,40,13.820513,0
1478,38,white,married,0,8,not college grad,0,SMSA,1,Manufacturing,Operatives,,3.3444817,40,5.6538463,1.1666666
1479,43,white,married,0,16,college grad,0,SMSA,1,Professional Services,Other,nonunion,6.634459,35,14.852565,13.666667
1480,41,white,single,1,16,college grad,0,SMSA,1,Transport/Comm/Utility,Managers/admin,nonunion,20.644119,45,19.051281,9
1482,38,white,married,0,12,not college grad,0,SMSA,1,Finance/Ins/Real Estate,Sales,nonunion,5.1046667,23,9.9423065,4
1484,36,white,married,0,17,college grad,0,SMSA,0,Manufacturing,Managers/admin,nonunion,16.256029,40,13.903846,7.0833335
1486,40,white,single,1,12,not college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,4.782608,32,13.538462,6.4166665
1490,39,white,single,0,18,college grad,0,nonSMSA,0,Public Administration,Managers/admin,union,13.164245,40,16.01923,1.9166666
1492,39,white,single,0,12,not college grad,0,nonSMSA,0,Manufacturing,Operatives,union,12.007685,40,14.403846,.33333334
1494,38,white,married,0,12,not college grad,0,SMSA,0,Manufacturing,Operatives,union,8.0515299,40,16.134615,16
1499,35,white,married,0,12,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Sales,,4.9114323,40,13.519231,3.8333333
1500,35,white,married,0,12,not college grad,1,SMSA,1,Wholesale/Retail Trade,Service,,2.801002,40,11.929487,1.9166666
1505,43,white,single,0,16,college grad,0,SMSA,1,Wholesale/Retail Trade,Managers/admin,nonunion,8.5185146,40,18.038462,9.5
1506,38,white,married,0,13,not college grad,1,SMSA,1,Finance/Ins/Real Estate,Sales,nonunion,5.2818017,40,6.6282048,1.25
1507,40,white,single,1,18,college grad,1,nonSMSA,0,Manufacturing,Professional/technical,nonunion,10.217388,40,14.288462,11.083333
1508,35,white,married,0,17,college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,10.942026,40,14.564102,13
1515,44,white,married,0,16,college grad,0,SMSA,0,Professional Services,Sales,union,6.2318821,25,4.4038463,2.1666667
1519,44,white,married,0,16,college grad,0,nonSMSA,0,Public Administration,Sales,,4.5986619,40,8.5769234,.91666669
1520,41,white,married,0,12,not college grad,1,SMSA,1,Manufacturing,Managers/admin,nonunion,11.884054,43,18.423077,7.1666665
1522,36,white,married,0,12,not college grad,0,SMSA,1,Business/Repair Svc,Sales,,5.434783,15,5.2307692,.25
1523,36,white,married,0,12,not college grad,0,SMSA,1,Finance/Ins/Real Estate,Managers/admin,nonunion,6.4412241,40,15.878206,12.833333
1525,43,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Laborers,,4.4137006,35,7.7692308,.75
1526,42,white,married,0,11,not college grad,0,SMSA,0,Personal Services,Transport,nonunion,3.3011258,30,2.1217949,.75
1529,38,white,married,0,13,not college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,5.9983873,40,17.134615,5
1530,38,white,single,0,10,not college grad,0,SMSA,1,Wholesale/Retail Trade,Clerical/unskilled,nonunion,11.195651,28,6.6346154,4
1531,36,white,married,0,10,not college grad,0,SMSA,1,Manufacturing,Clerical/unskilled,nonunion,2.3027365,35,4.0769229,1.4166666
1540,39,white,married,0,12,not college grad,1,SMSA,1,Professional Services,Professional/technical,,9.1973238,16,14.057693,5.5833335
1542,43,white,married,0,12,not college grad,0,SMSA,1,Finance/Ins/Real Estate,Sales,nonunion,4.3880816,40,14.916666,4.4166665
1543,43,white,married,0,18,college grad,0,nonSMSA,0,Professional Services,Professional/technical,union,10.450882,40,7.0641022,3.8333333
1545,38,white,married,0,16,college grad,0,SMSA,1,Professional Services,Sales,nonunion,4.4202881,7,11.038462,1.3333334
1557,39,white,married,0,12,not college grad,0,nonSMSA,0,Finance/Ins/Real Estate,Sales,nonunion,5.6119142,40,13.865385,.75
1558,36,white,married,0,12,not college grad,1,SMSA,1,Professional Services,Sales,nonunion,4.8872786,40,13,5.8333335
1559,35,white,married,0,12,not college grad,0,SMSA,0,Manufacturing,Sales,union,6.714973,40,17.487177,9.583333
1561,35,white,married,0,14,not college grad,0,SMSA,0,Business/Repair Svc,Managers/admin,nonunion,7.801928,40,11.076923,10.583333
1562,42,white,married,0,14,not college grad,1,SMSA,1,Professional Services,Sales,nonunion,6.2238321,55,16.442308,4.25
1563,39,white,married,0,18,college grad,0,SMSA,1,Professional Services,Other,union,6.7069201,60,13.435897,2.75
1564,41,white,single,0,16,college grad,1,SMSA,1,Wholesale/Retail Trade,Sales,nonunion,6.1594191,40,12.576923,6.9166665
1565,39,white,single,0,13,not college grad,0,SMSA,0,Wholesale/Retail Trade,Managers/admin,nonunion,12.38325,45,15.192307,1.4166666
1566,39,not white,single,0,14,not college grad,0,nonSMSA,0,Professional Services,Sales,nonunion,4.0257649,40,11.128204,3.75
1572,40,white,single,0,12,not college grad,0,nonSMSA,0,Manufacturing,Sales,,4.8274837,40,16.48077,9.166667
1577,41,not white,married,0,15,not college grad,0,SMSA,1,Personal Services,Sales,nonunion,3.2850225,24,6.2307696,
1578,37,not white,single,0,14,not college grad,1,SMSA,1,Wholesale/Retail Trade,Clerical/unskilled,,38.709259,40,12.538461,1.5833334
1580,38,white,married,0,12,not college grad,0,nonSMSA,0,Finance/Ins/Real Estate,Clerical/unskilled,,5.8528428,50,4.4615383,1.25
1582,40,not white,married,0,18,college grad,0,SMSA,1,Professional Services,Other,union,15.09662,40,14.166666,8.75
1583,39,not white,married,0,17,college grad,0,SMSA,1,Professional Services,Other,nonunion,6.634459,35,16.173077,9.75
1585,36,not white,married,0,12,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Sales,,4.703177,40,7.5833335,.66666669
1588,43,white,married,0,13,not college grad,0,nonSMSA,0,Ag/Forestry/Fisheries,Sales,nonunion,4.0257649,24,10.083334,.16666667
1591,36,white,single,0,14,not college grad,0,SMSA,0,Manufacturing,Sales,nonunion,6.2640896,42,8.9423075,1.5833334
1595,41,white,married,0,14,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Sales,nonunion,7.5362258,38,14.980769,7.4166665
1596,39,white,married,0,12,not college grad,0,SMSA,1,Professional Services,Sales,nonunion,5.4106259,32,20.596153,20.583334
1598,44,white,single,0,12,not college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,3.3977435,36,7.5641026,2.0833333
1599,42,white,married,0,16,college grad,1,SMSA,0,Professional Services,Managers/admin,nonunion,12.38325,50,18.429485,11.166667
1600,42,white,married,0,11,not college grad,0,SMSA,0,Personal Services,Operatives,nonunion,3.6231885,53,15.198717,3.4166667
1603,45,white,married,0,7,not college grad,0,nonSMSA,0,Professional Services,Laborers,nonunion,3.7117529,38,3.9102564,1.75
1604,37,white,married,0,12,not college grad,0,SMSA,1,Wholesale/Retail Trade,Sales,nonunion,3.7037024,40,7.0384617,3.5833333
1607,39,white,married,0,14,not college grad,0,nonSMSA,0,Construction,Sales,nonunion,8.0515299,38,16.346153,1.3333334
1613,38,white,married,0,12,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Managers/admin,nonunion,4.6698866,20,8.7820511,2.8333333
1614,42,white,married,0,12,not college grad,1,SMSA,1,Entertainment/Rec Svc,Sales,nonunion,3.3444817,40,3.3910255,1
1616,40,white,married,0,15,not college grad,0,nonSMSA,0,Professional Services,Other,nonunion,7.0048285,22,10.423077,6.4166665
1618,34,white,married,0,12,not college grad,0,nonSMSA,0,Manufacturing,Operatives,nonunion,4.7504005,40,10.134616,9.583333
1620,45,white,single,0,12,not college grad,0,nonSMSA,0,Professional Services,Sales,,2.4916961,5,9.2884617,
1622,37,white,married,0,16,college grad,0,nonSMSA,0,Professional Services,Other,union,3.3091762,20,14.038462,1.5833334
1623,41,white,married,0,12,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Managers/admin,nonunion,4.5491123,40,9.6153851,6
1624,39,white,married,0,16,college grad,0,nonSMSA,0,Wholesale/Retail Trade,Sales,nonunion,10.732684,15,10.576923,2.4166667
1625,37,white,married,0,16,college grad,0,nonSMSA,0,,Professional/technical,nonunion,6.0869551,40,8.5705128,.83333331
1626,35,white,single,0,12,not college grad,0,nonSMSA,0,Manufacturing,Operatives,nonunion,3.9855046,45,15.923077,10.25
1628,35,white,single,1,12,not college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,union,6.6889634,10,7.9807692,2
1630,39,white,single,0,12,not college grad,0,nonSMSA,0,Finance/Ins/Real Estate,Laborers,,3.3444817,3,12.134615,5
1631,39,white,married,0,13,not college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,4.2270532,32,10.615384,3.6666667
1635,44,white,single,0,12,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Sales,nonunion,3.220612,24,8.0705128,2.6666667
1636,40,white,married,0,12,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Laborers,nonunion,4.2270532,8,9.7628202,.58333331
1638,41,white,married,0,13,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Clerical/unskilled,nonunion,3.8727839,26,7.6474361,4.3333335
1641,36,white,married,0,16,college grad,0,SMSA,1,Personal Services,Laborers,,3.0518394,15,10.980769,.91666669
1644,36,white,married,0,16,college grad,0,nonSMSA,0,Public Administration,Professional/technical,nonunion,9.3719788,38,18.26923,14.833333
1645,35,white,married,0,12,not college grad,0,nonSMSA,0,Professional Services,Sales,nonunion,3.7198057,40,10.692307,4.6666665
1646,37,white,single,1,12,not college grad,0,nonSMSA,0,Personal Services,Transport,nonunion,2.6570041,35,11.288462,3.4166667
1647,37,white,married,0,12,not college grad,0,SMSA,0,Wholesale/Retail Trade,Clerical/unskilled,nonunion,3.9855046,20,6.9230771,3.75
1648,35,white,married,0,16,college grad,0,nonSMSA,0,Professional Services,Other,union,8.9049911,40,14.826922,8.833333
1649,42,white,married,0,16,college grad,1,SMSA,0,Business/Repair Svc,Professional/technical,,13.377926,36,16.038462,2.6666667
1650,40,white,single,0,11,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Farm laborers,nonunion,2.8582926,40,2.6730769,.16666667
1651,41,white,married,0,15,not college grad,0,nonSMSA,0,Professional Services,Laborers,,5.3511686,20,12.660256,.33333334
1653,35,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Managers/admin,nonunion,9.7342978,50,16.070513,10.5
1654,38,white,married,0,16,college grad,1,SMSA,0,Business/Repair Svc,Other,nonunion,10.217388,50,16.833334,3
1655,40,white,married,0,13,not college grad,0,SMSA,0,Public Administration,Managers/admin,union,13.969397,45,19.551283,19.5
1656,40,white,single,1,12,not college grad,0,SMSA,1,Professional Services,Laborers,union,6.779387,40,19.666666,19.666666
1659,41,white,single,1,17,college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,12.971002,40,16.320513,4.5
1664,38,white,married,0,17,college grad,0,SMSA,1,Wholesale/Retail Trade,Managers/admin,nonunion,20.644119,60,13.467948,8.333333
1669,35,white,married,0,14,not college grad,0,nonSMSA,0,Professional Services,Professional/technical,nonunion,10.104667,36,16.064102,13.416667
1671,35,white,single,1,9,not college grad,0,nonSMSA,0,Personal Services,Laborers,nonunion,3.3444817,32,1.3269231,.083333336
1674,42,white,married,0,12,not college grad,0,SMSA,1,Public Administration,Managers/admin,nonunion,6.5780983,40,15.173077,3.75
1675,42,white,single,0,12,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Sales,nonunion,4.8309178,40,10.826923,9.833333
1683,35,white,married,0,17,college grad,0,SMSA,0,Professional Services,Sales,nonunion,18.196449,2,11.807693,3.3333333
1686,35,white,married,0,14,not college grad,0,nonSMSA,0,Professional Services,Professional/technical,nonunion,6.4412241,2,8.6923075,6.0833335
1688,36,white,single,0,12,not college grad,0,nonSMSA,0,Professional Services,Laborers,,5.0167227,32,9.1923075,3.5
1689,39,white,single,0,12,not college grad,0,nonSMSA,0,Manufacturing,Operatives,,2.801002,40,13.75,.41666666
1690,37,white,married,0,12,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Managers/admin,,3.3444817,30,12.115385,2.8333333
1691,35,white,married,0,12,not college grad,0,nonSMSA,0,Professional Services,Professional/technical,nonunion,5.9178729,38,18.73077,11.75
1693,40,white,married,0,12,not college grad,0,nonSMSA,0,Professional Services,Other,nonunion,5.072463,30,8.7564106,1.75
1697,37,white,married,0,12,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Managers/admin,,3.0991251,60,14.448719,1.75
1701,36,white,married,0,11,not college grad,0,SMSA,0,Construction,Sales,nonunion,5.2334948,40,10.153846,.75
1702,35,white,married,0,12,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Sales,,2.801002,30,6.5769234,.16666667
1703,45,white,single,0,13,not college grad,0,SMSA,1,Finance/Ins/Real Estate,Sales,nonunion,4.8792253,40,12.961538,1.75
1707,38,white,married,0,9,not college grad,0,nonSMSA,0,Manufacturing,Operatives,nonunion,7.1497569,39,11.461538,4.4166665
1710,40,white,single,0,18,college grad,0,nonSMSA,0,Professional Services,Professional/technical,nonunion,8.5990286,45,14.833333,14.833333
1712,40,white,married,0,13,not college grad,0,nonSMSA,0,Manufacturing,Operatives,nonunion,3.6634455,40,8.8269234,2.4166667
1713,38,white,married,0,8,not college grad,0,SMSA,1,Wholesale/Retail Trade,Laborers,,6.0386477,40,6.3461537,1.5833334
1714,35,white,married,0,14,not college grad,0,nonSMSA,0,Finance/Ins/Real Estate,Sales,,5.7483277,40,13.173077,6.9166665
1716,35,white,married,0,16,college grad,0,SMSA,1,Professional Services,Professional/technical,,6.6889634,40,14.97436,7.8333335
1719,39,white,married,0,14,not college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,11.924314,50,18.25,15.833333
